[DEBUG] 2025-03-29 00:17:42,790 [UID:2] views - delete old images_data
[DEBUG] 2025-03-29 00:17:42,791 [UID:2] views - save new images_data
[DEBUG] 2025-03-29 00:17:42,791 [UID:2] views - save updated Room object
[INFO] 2025-03-29 00:17:42,802 [UID:2] views - return redirect room:list
[INFO] 2025-03-29 00:17:42,803 [UID:2] basehttp - "POST /room/update/8/ HTTP/1.1" 302 0
[DEBUG] 2025-03-29 00:17:42,808 [UID:2] views - start Room list_view
[DEBUG] 2025-03-29 00:17:42,812 [UID:2] views - object_list exists
[INFO] 2025-03-29 00:17:42,813 [UID:2] views - return render room/list.html
[INFO] 2025-03-29 00:17:42,820 [UID:2] basehttp - "GET /room/list/ HTTP/1.1" 200 26699
[INFO] 2025-03-29 00:17:42,875 [UID:2] basehttp - "GET /media/room/5_themes_2503282350.webp HTTP/1.1" 304 0
[INFO] 2025-03-29 00:17:42,882 [UID:2] basehttp - "GET /media/room/4_themes_2503282351.jpg HTTP/1.1" 304 0
[INFO] 2025-03-29 00:17:42,885 [UID:2] basehttp - "GET /media/room/3_themes_2503282352.jpg HTTP/1.1" 304 0
[INFO] 2025-03-29 00:17:42,950 [UID:2] basehttp - "GET /media/room/8_images_2503290017.jpg HTTP/1.1" 200 6018
[INFO] 2025-03-29 00:17:44,071 [UID:2] views - start Room detail_view
[DEBUG] 2025-03-29 00:17:44,074 [UID:2] views - get Room object(pk)
[DEBUG] 2025-03-29 00:17:44,076 [UID:2] views - return render room/detail.html
[INFO] 2025-03-29 00:17:44,078 [UID:2] basehttp - "GET /room/detail/7/ HTTP/1.1" 200 22298
[INFO] 2025-03-29 00:17:45,720 [UID:2] views - start Room update_view
[DEBUG] 2025-03-29 00:17:45,720 [UID:2] views - get Room object(pk)
[INFO] 2025-03-29 00:17:45,721 [UID:2] views - GET method
[INFO] 2025-03-29 00:17:45,722 [UID:2] views - return render room/update.html
[INFO] 2025-03-29 00:17:45,725 [UID:2] basehttp - "GET /room/update/7/ HTTP/1.1" 200 16678
[INFO] 2025-03-29 00:17:55,816 [UID:2] views - start Room update_view
[DEBUG] 2025-03-29 00:17:55,817 [UID:2] views - get Room object(pk)
[INFO] 2025-03-29 00:17:55,818 [UID:2] views - POST method
[DEBUG] 2025-03-29 00:17:55,819 [UID:2] views - form.is_valid
[DEBUG] 2025-03-29 00:17:55,819 [UID:2] views - images_data exists
[DEBUG] 2025-03-29 00:17:55,820 [UID:2] views - old images_data exists
[DEBUG] 2025-03-29 00:17:55,820 [UID:2] views - old images_data=C:\Users\sasay\Desktop\Python\AinoteProject\media\room\7_2503242242.jpg
[DEBUG] 2025-03-29 00:17:55,821 [UID:2] views - old images_data file exists
[DEBUG] 2025-03-29 00:17:55,821 [UID:2] views - delete old images_data
[DEBUG] 2025-03-29 00:17:55,822 [UID:2] views - save new images_data
[DEBUG] 2025-03-29 00:17:55,822 [UID:2] views - save updated Room object
[INFO] 2025-03-29 00:17:55,832 [UID:2] views - return redirect room:list
[INFO] 2025-03-29 00:17:55,833 [UID:2] basehttp - "POST /room/update/7/ HTTP/1.1" 302 0
[DEBUG] 2025-03-29 00:17:55,838 [UID:2] views - start Room list_view
[DEBUG] 2025-03-29 00:17:55,841 [UID:2] views - object_list exists
[INFO] 2025-03-29 00:17:55,842 [UID:2] views - return render room/list.html
[INFO] 2025-03-29 00:17:55,847 [UID:2] basehttp - "GET /room/list/ HTTP/1.1" 200 26706
[INFO] 2025-03-29 00:17:55,881 [UID:2] basehttp - "GET /media/room/8_images_2503290017.jpg HTTP/1.1" 304 0
[INFO] 2025-03-29 00:17:55,879 [UID:2] basehttp - "GET /media/room/8_themes_2503282347.jpg HTTP/1.1" 304 0
[INFO] 2025-03-29 00:17:55,913 [UID:2] basehttp - "GET /media/room/6_themes_2503282349.jpg HTTP/1.1" 304 0
[INFO] 2025-03-29 00:17:55,914 [UID:2] basehttp - "GET /media/room/7_images_2503290017.jpg HTTP/1.1" 200 6751
[INFO] 2025-03-29 00:17:55,912 [UID:2] basehttp - "GET /media/room/7_themes_2503282348.jpg HTTP/1.1" 304 0
[INFO] 2025-03-29 00:17:58,950 [UID:2] views - start Room detail_view
[DEBUG] 2025-03-29 00:17:58,953 [UID:2] views - get Room object(pk)
[DEBUG] 2025-03-29 00:17:58,954 [UID:2] views - return render room/detail.html
[INFO] 2025-03-29 00:17:58,958 [UID:2] basehttp - "GET /room/detail/6/ HTTP/1.1" 200 22303
[INFO] 2025-03-29 00:18:00,178 [UID:2] views - start Room update_view
[DEBUG] 2025-03-29 00:18:00,178 [UID:2] views - get Room object(pk)
[INFO] 2025-03-29 00:18:00,180 [UID:2] views - GET method
[INFO] 2025-03-29 00:18:00,180 [UID:2] views - return render room/update.html
[INFO] 2025-03-29 00:18:00,186 [UID:2] basehttp - "GET /room/update/6/ HTTP/1.1" 200 16685
[INFO] 2025-03-29 00:18:11,186 [UID:2] views - start Room update_view
[DEBUG] 2025-03-29 00:18:11,186 [UID:2] views - get Room object(pk)
[INFO] 2025-03-29 00:18:11,187 [UID:2] views - POST method
[DEBUG] 2025-03-29 00:18:11,189 [UID:2] views - form.is_valid
[DEBUG] 2025-03-29 00:18:11,189 [UID:2] views - images_data exists
[DEBUG] 2025-03-29 00:18:11,189 [UID:2] views - old images_data exists
[DEBUG] 2025-03-29 00:18:11,190 [UID:2] views - old images_data=C:\Users\sasay\Desktop\Python\AinoteProject\media\room\6_2503242241.webp
[DEBUG] 2025-03-29 00:18:11,190 [UID:2] views - old images_data file exists
[DEBUG] 2025-03-29 00:18:11,190 [UID:2] views - delete old images_data
[DEBUG] 2025-03-29 00:18:11,191 [UID:2] views - save new images_data
[DEBUG] 2025-03-29 00:18:11,191 [UID:2] views - save updated Room object
[INFO] 2025-03-29 00:18:11,217 [UID:2] views - return redirect room:list
[INFO] 2025-03-29 00:18:11,218 [UID:2] basehttp - "POST /room/update/6/ HTTP/1.1" 302 0
[DEBUG] 2025-03-29 00:18:11,222 [UID:2] views - start Room list_view
[DEBUG] 2025-03-29 00:18:11,225 [UID:2] views - object_list exists
[INFO] 2025-03-29 00:18:11,226 [UID:2] views - return render room/list.html
[INFO] 2025-03-29 00:18:11,230 [UID:2] basehttp - "GET /room/list/ HTTP/1.1" 200 26713
[INFO] 2025-03-29 00:18:11,258 [UID:2] basehttp - "GET /media/room/8_images_2503290017.jpg HTTP/1.1" 304 0
[INFO] 2025-03-29 00:18:11,259 [UID:2] basehttp - "GET /media/room/7_images_2503290017.jpg HTTP/1.1" 304 0
[INFO] 2025-03-29 00:18:11,283 [UID:2] basehttp - "GET /media/room/6_images_2503290018.webp HTTP/1.1" 200 5660
[INFO] 2025-03-29 00:18:14,343 [UID:2] views - start Room detail_view
[DEBUG] 2025-03-29 00:18:14,345 [UID:2] views - get Room object(pk)
[DEBUG] 2025-03-29 00:18:14,347 [UID:2] views - return render room/detail.html
[INFO] 2025-03-29 00:18:14,351 [UID:2] basehttp - "GET /room/detail/5/ HTTP/1.1" 200 22370
[INFO] 2025-03-29 00:18:15,684 [UID:2] views - start Room update_view
[DEBUG] 2025-03-29 00:18:15,685 [UID:2] views - get Room object(pk)
[INFO] 2025-03-29 00:18:15,686 [UID:2] views - GET method
[INFO] 2025-03-29 00:18:15,686 [UID:2] views - return render room/update.html
[INFO] 2025-03-29 00:18:15,690 [UID:2] basehttp - "GET /room/update/5/ HTTP/1.1" 200 16726
[INFO] 2025-03-29 00:18:25,770 [UID:2] views - start Room update_view
[DEBUG] 2025-03-29 00:18:25,771 [UID:2] views - get Room object(pk)
[INFO] 2025-03-29 00:18:25,772 [UID:2] views - POST method
[DEBUG] 2025-03-29 00:18:25,773 [UID:2] views - form.is_valid
[DEBUG] 2025-03-29 00:18:25,773 [UID:2] views - images_data exists
[DEBUG] 2025-03-29 00:18:25,774 [UID:2] views - old images_data exists
[DEBUG] 2025-03-29 00:18:25,774 [UID:2] views - old images_data=C:\Users\sasay\Desktop\Python\AinoteProject\media\room\5_2503242240.jpg
[DEBUG] 2025-03-29 00:18:25,774 [UID:2] views - old images_data file exists
[DEBUG] 2025-03-29 00:18:25,775 [UID:2] views - delete old images_data
[DEBUG] 2025-03-29 00:18:25,776 [UID:2] views - save new images_data
[DEBUG] 2025-03-29 00:18:25,776 [UID:2] views - save updated Room object
[INFO] 2025-03-29 00:18:25,788 [UID:2] views - return redirect room:list
[INFO] 2025-03-29 00:18:25,788 [UID:2] basehttp - "POST /room/update/5/ HTTP/1.1" 302 0
[DEBUG] 2025-03-29 00:18:25,792 [UID:2] views - start Room list_view
[DEBUG] 2025-03-29 00:18:25,796 [UID:2] views - object_list exists
[INFO] 2025-03-29 00:18:25,796 [UID:2] views - return render room/list.html
[INFO] 2025-03-29 00:18:25,803 [UID:2] basehttp - "GET /room/list/ HTTP/1.1" 200 26720
[INFO] 2025-03-29 00:18:25,835 [UID:2] basehttp - "GET /media/room/7_images_2503290017.jpg HTTP/1.1" 304 0
[INFO] 2025-03-29 00:18:25,836 [UID:2] basehttp - "GET /media/room/8_images_2503290017.jpg HTTP/1.1" 304 0
[INFO] 2025-03-29 00:18:25,861 [UID:2] basehttp - "GET /media/room/5_images_2503290018.jpg HTTP/1.1" 200 6292
[INFO] 2025-03-29 00:18:25,864 [UID:2] basehttp - "GET /media/room/6_images_2503290018.webp HTTP/1.1" 304 0
[INFO] 2025-03-29 00:18:28,496 [UID:2] views - start Room detail_view
[DEBUG] 2025-03-29 00:18:28,499 [UID:2] views - get Room object(pk)
[DEBUG] 2025-03-29 00:18:28,500 [UID:2] views - return render room/detail.html
[INFO] 2025-03-29 00:18:28,503 [UID:2] basehttp - "GET /room/detail/4/ HTTP/1.1" 200 22366
[INFO] 2025-03-29 00:18:29,802 [UID:2] views - start Room update_view
[DEBUG] 2025-03-29 00:18:29,802 [UID:2] views - get Room object(pk)
[INFO] 2025-03-29 00:18:29,803 [UID:2] views - GET method
[INFO] 2025-03-29 00:18:29,804 [UID:2] views - return render room/update.html
[INFO] 2025-03-29 00:18:29,807 [UID:2] basehttp - "GET /room/update/4/ HTTP/1.1" 200 16722
[INFO] 2025-03-29 00:18:43,369 [UID:2] views - start Room update_view
[DEBUG] 2025-03-29 00:18:43,369 [UID:2] views - get Room object(pk)
[INFO] 2025-03-29 00:18:43,370 [UID:2] views - POST method
[DEBUG] 2025-03-29 00:18:43,371 [UID:2] views - form.is_valid
[DEBUG] 2025-03-29 00:18:43,371 [UID:2] views - images_data exists
[DEBUG] 2025-03-29 00:18:43,371 [UID:2] views - old images_data exists
[DEBUG] 2025-03-29 00:18:43,372 [UID:2] views - old images_data=C:\Users\sasay\Desktop\Python\AinoteProject\media\room\4_2503242237.jpg
[DEBUG] 2025-03-29 00:18:43,372 [UID:2] views - old images_data file exists
[DEBUG] 2025-03-29 00:18:43,372 [UID:2] views - delete old images_data
[DEBUG] 2025-03-29 00:18:43,373 [UID:2] views - save new images_data
[DEBUG] 2025-03-29 00:18:43,373 [UID:2] views - save updated Room object
